100,7603,-10,2013-06-01 04:00:00
15,400,-1,2015-02-09 05:00:00
320,58,2,2014-08-25 04:00:00
26,333,1,2013-02-13 05:00:00
8,427,-1,2014-03-20 04:00:00
1315,1,5,2012-04-17 04:00:00
108,2175,1,2012-02-12 05:00:00
813,748,-1,2012-12-01 05:00:00
2,8,5,2013-08-13 04:00:00
368,382,2,2011-05-22 04:00:00
8,7470,-10,2013-12-01 05:00:00
85,7602,-10,2013-03-29 04:00:00
45,7520,-10,2011-06-14 04:00:00
100,177,-10,2013-06-01 04:00:00
20,2,10,2012-04-02 04:00:00
42,7582,-10,2011-05-11 04:00:00
330,7600,-5,2013-03-26 04:00:00
134,7603,-10,2013-04-24 04:00:00
163,7560,-10,2014-07-05 04:00:00
7588,25,1,2012-07-29 04:00:00
272,142,-5,2012-01-12 05:00:00
397,666,1,2013-10-18 04:00:00
864,153,2,2011-06-17 04:00:00
1335,1808,1,2012-11-01 04:00:00
24,249,1,2013-05-28 04:00:00
159,145,3,2012-10-03 04:00:00
125,7431,-10,2013-03-09 05:00:00
176,737,5,2012-06-17 04:00:00
185,249,3,2013-10-01 04:00:00
491,177,-5,2013-04-27 04:00:00
986,540,1,2011-06-02 04:00:00
3159,8,2,2013-03-27 04:00:00
245,185,-10,2014-02-27 05:00:00
15,47,-1,2014-12-23 05:00:00
1432,514,2,2011-06-08 04:00:00
164,1393,-1,2014-12-04 05:00:00
1,519,2,2012-04-18 04:00:00
8,7603,-5,2014-03-12 04:00:00
8,7328,-1,2013-12-10 05:00:00
2068,79,1,2011-07-20 04:00:00
122,7565,-1,2012-11-06 05:00:00
3,6,8,2013-02-27 05:00:00
149,419,1,2011-04-08 04:00:00
7604,7601,10,2013-03-26 04:00:00
54,7564,-10,2011-07-19 04:00:00
173,398,1,2014-03-07 05:00:00
7,7540,-1,2012-11-13 05:00:00
759,7597,-10,2013-08-19 04:00:00
5837,7465,-10,2013-01-21 05:00:00
114,7370,-1,2016-01-17 05:00:00
710,4,3,2011-02-17 05:00:00
2265,700,1,2012-10-30 04:00:00
7564,45,-10,2011-06-16 04:00:00
85,199,-1,2014-04-25 04:00:00
346,35,1,2011-11-28 05:00:00
5,7544,-10,2014-08-14 04:00:00
48,75,2,2011-08-18 04:00:00
67,1730,1,2011-11-14 05:00:00
123,7556,-10,2012-12-07 05:00:00
113,7603,-10,2012-09-03 04:00:00
8,969,-1,2013-12-12 05:00:00
13,320,3,2013-01-28 05:00:00
7552,224,1,2011-04-29 04:00:00
10,1967,1,2011-05-18 04:00:00
272,7564,-10,2011-07-06 04:00:00
625,91,2,2010-12-27 05:00:00
108,2005,1,2011-06-09 04:00:00
485,7331,-1,2012-01-22 05:00:00
1708,89,1,2011-07-04 04:00:00
1,3101,1,2013-01-02 05:00:00
